EE UID,year
687901,2015
687902,2015
687903,2015
687904,2015
687905,2015
687907,2015
687909,2015
687911,2015
687912,2015
687913,2015
687914,2015
687951,2015
687967,2015
687968,2015
687969,2015
687970,2015
687973,2015
687974,2015
687975,2015
687982,2015
688348,2015
688349,2015
688350,2015
688352,2015
688353,2015
688357,2015
688359,2015
688361,2015
688362,2015
688363,2015
688365,2015
688366,2015
688367,2015
688368,2015
688369,2015
688370,2015
688371,2015
688372,2015
688378,2015
688395,2015
688396,2015
688397,2015
688398,2015
688403,2015
688405,2015
688406,2015
688408,2015
688410,2015
688413,2015
688414,2015
688415,2015
688416,2015
688417,2015
688418,2015
688419,2015
688420,2015
688427,2015
688496,2015
688497,2015
688498,2015
688502,2015
688503,2015
688505,2015
688506,2015
688532,2015
688561,2015
688562,2015
688564,2015
688566,2015
688569,2015
688570,2015
688571,2015
688572,2015
688721,2015
688722,2015
688723,2015
688724,2015
688726,2015
688727,2015
688728,2015
688729,2015
688731,2015
688733,2015
688734,2015
688735,2015
688737,2015
688740,2015
688750,2015
688751,2015
688752,2015
688753,2015
688754,2015
688755,2015
688756,2015
688757,2015
688767,2015
688768,2015
688770,2015
688777,2015
688780,2015
688782,2015
688784,2015
688785,2015
688788,2015
688796,2015
688797,2015
688800,2015
688803,2015
688804,2015
688805,2015
688806,2015
688807,2015
688813,2015
688821,2015
688825,2015
688827,2015
688829,2015
688830,2015
688831,2015
688832,2015
688833,2015
688834,2015
688835,2015
688836,2015
689310,2015
689313,2015
689314,2015
689315,2015
689316,2015
689317,2015
689728,2015
689730,2015
689731,2015
689733,2015
689734,2015
689735,2015
689736,2015
689741,2015
689745,2015
690106,2015
690107,2015
690108,2015
690618,2015
690620,2015
690621,2015
690623,2015
690936,2015
690937,2015
690938,2015
690939,2015
690941,2015
691022,2015
691023,2015
691081,2015
691403,2015
691404,2015
691408,2015
691412,2015
691416,2015
691417,2015
691589,2015
691805,2015
691806,2015
691807,2015
691810,2015
691814,2015
691817,2015
691818,2015
692148,2015
692151,2015
692156,2015
692159,2015
692161,2015
692162,2015
692163,2015
692165,2015
692547,2015
692548,2015
692550,2015
692552,2015
692553,2015
692557,2015
692899,2015
692901,2015
692903,2015
692905,2015
692906,2015
692908,2015
692913,2015
693538,2015
693539,2015
693540,2015
693541,2015
693542,2015
693543,2015
693544,2015
693545,2015
693546,2015
694230,2015
694234,2015
694235,2015
694236,2015
