EE UID,Client ID,ZC
623082,1096,27707
822088,1096,27344
929921,1096,27703
943804,1097,20032
818207,1555,27703
865978,1555,27703
715037,1616,27407
700819,2024,27107
632575,2054,60661
640464,2054,60661
644512,2054,60661
647422,2054,60661
661238,2054,60661
687554,2054,60661
694556,2054,60661
699106,2054,60661
760152,2054,60661
774738,2054,60661
775266,2054,60661
782257,2054,60661
796826,2054,60661
809831,2054,60661
881398,2054,60661
886550,2054,60661
893118,2054,60661
930240,2054,60661
966960,2054,60661
1010552,2054,60661
1052079,2054,60661
1071205,2054,60661
1066415,2123,27703
722732,2142,27701
737183,2142,27701
778436,2142,27701
697295,2416,27401
701405,2416,27401
759111,2416,27401
970042,2458,27703
1000182,2458,27703
1008681,2458,27703
1053523,2465,27701
690938,3953,28212
828725,4064,28203
828261,4201,27405
934537,4347,27406
810099,4828,27260
1067673,4828,27260
683312,6597,27401
1057612,6936,28206
664694,8104,27701
666519,8104,27701
861488,8104,27713
1045754,9273,30088
640466,9300,12206
842303,9647,27215
850142,9647,27215
781731,9728,27703
784213,9728,27703
613707,10107,27707
636482,10107,27707
674651,10107,27707
683008,10107,27707
684311,10107,27707
688737,10107,27707
849114,10107,27701
885803,10107,27701
898758,10107,27701
614723,10619,27701
701694,10619,27701
904893,11625,27704
948692,11625,27704
992205,11625,27704
989385,15513,27703
708114,16664,27701
1068840,18645,28147
1045854,19229,27705
1029541,19369,27675
712394,19712,27705
722896,19712,27705
720677,19938,27405
732740,19938,27405
766427,19938,27405
769741,19938,27405
907025,21247,28083
1019670,26624,27703
1019671,26625,27707
759647,26790,27707
1070637,27655,27253
959457,28079,27703
979312,28079,27703
673345,65139,27701
696967,65139,27701
724936,65139,27701
840264,65139,27701
681225,65851,27701
689316,65851,27701
724921,66668,27603
1066729,66668,27603
774739,67161,27217
776633,67161,27217
831597,67408,27603
674922,67950,27703
675602,67950,27703
758228,67984,27101
759105,67984,27101
769759,67984,27101
832171,67984,27703
834964,67984,27703
852470,67984,27703
861489,67984,27703
883510,67984,27703
907968,67984,27703
956361,67984,27703
1013866,67984,27703
1027730,67984,27703
1057341,68560,27703
704492,70856,27701
735026,70856,27701
748087,70856,27701
750462,70856,27701
816224,71472,27406
864492,72612,27702
872630,72612,27702
879755,72612,27702
858329,73679,27217
859700,73827,27704
1060304,75599,27407
1068986,75599,27407
1070264,75599,27407
656726,75600,27703
724938,75600,27701
732745,75600,27701
759101,75600,27701
789560,75600,27701
877298,75600,27701
922617,75600,27703
940055,75600,27703
1070916,75972,27401
691805,76511,27707
741712,76511,27707
766030,76511,27707
769753,76511,27707
774475,76511,27707
821899,76511,27707
867597,76511,27707
929576,81173,27514
932112,81173,27514
972464,81173,27514
980277,81173,27514
936281,81556,25301
897386,82223,20019
674924,82986,27803
1039490,83059,27703
1066383,83289,27610
614728,84223,27406
616712,84223,27406
646486,84223,27406
727136,84223,27701
864485,84223,27701
916062,86177,27701
943809,86177,27701
1045848,86177,27701
693540,88282,27701
904897,88294,27705
984098,88294,27703
691806,90711,27401
696978,90711,27401
712337,90711,27401
1074006,91355,27516
796216,92773,27302
1051295,93176,24012
710183,95125,27701
720120,95125,27701
649827,96427,27601
656685,96427,27601
997325,96440,27703
791708,97518,27701
794249,97518,27701
1034287,97855,27360
935466,98566,27703
903458,98579,27604
978808,98579,27604
818791,100388,27253
793903,100946,27701
805892,100946,27701
885800,100946,27701
678306,103533,27701
683580,103533,27751
689736,103533,27751
729555,103533,27751
752493,103533,27751
766429,103533,27751
955134,103533,27703
813824,103591,27707
853067,103591,27701
787084,104087,27701
792474,104087,27701
797912,104087,27701
827006,104087,27701
834957,104087,27701
878143,104087,27701
906404,104087,27701
1040177,104087,27705
1065561,104087,27705
1067224,104087,27705
661538,104784,27701
686209,106155,27701
688833,106155,27701
747616,106155,27701
779737,106155,27701
925617,106490,27701
705401,106968,44320
957126,106968,27713
1072067,106968,27713
1074179,106968,27713
649299,108279,27705
766421,108279,27705
771854,108279,27705
775644,108279,27705
779002,108279,27705
789569,108279,27705
710284,108806,27703
612010,109242,27401
683307,109426,27406
766423,109426,27705
799464,109426,27705
894313,109426,27705
1064094,109426,27705
1074277,109426,27705
1074280,109426,27705
763989,110192,20216
993451,110517,27703
888739,110903,27701
903465,110973,27703
928016,110973,27703
1013815,110973,27703
657030,111217,75632
658081,111217,75632
717847,111217,75632
792476,112251,28052
872628,113217,27408
1071364,113675,27215
712340,115069,27565
917602,115069,27565
817694,115082,27101
925366,117195,27514
831600,118116,27707
984097,118116,27707
992193,118116,27707
972472,118982,27212
881392,120098,27707
906671,120098,27707
864484,120580,27572
1064416,120580,27707
934846,120778,27703
833873,123044,27704
827777,123118,28206
645430,123122,27510
658082,123122,27510
687905,123122,27510
690106,123122,27510
692557,123122,27510
705120,123122,27510
735620,123122,27510
766816,123122,27510
779090,123122,27510
780507,123122,27510
791693,123122,27510
919193,123122,27701
641921,123153,27510
643541,123153,27510
694236,123882,27701
700478,123882,27701
899696,123882,27701
906410,123882,27701
1059078,123882,27701
955418,124181,27401
